StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Q1 ",Q2,Q3,QID49,QID50,QID51,QID52,QID54,QID55,QID71,QID56,QID57,QID58,QID59,QID60,QID61,QID62,QID63,QID64,QID65,QID72,QID66,QID67,QID68," "
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Gender,Age,Hunger Scale,Select Below,Select Below,Select below,Select Below,Select Below,Select Below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below,Select below
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID53""}","{""ImportId"":""QID6""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID71""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID72""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID48""}"
2024-02-28 12:14:44,2024-02-28 12:16:01,Survey Preview,,100,77,True,2024-02-28 12:16:02,R_5h41PACwIqCAZEU,,,,,42.3474,-71.1582,preview,EN,Female,,2,,,,,,,,,,,,,,,,,,,,,,
2024-02-28 12:54:23,2024-02-28 12:56:59,Survey Preview,,100,155,True,2024-02-28 12:57:00,R_61iM18Sw5emQHjJ,,,,,42.3474,-71.1582,preview,EN,Female,24-29,1,,,,,,,,,,,,Classic Humus,Sun-Kissed Veggie Pasta Salad,Authentic Roasted Pumpkin Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Iced Latte,,Barbecue Chicken Pizza,One-Pan Chicken Alfredo Penne,Staple Pad Thai Noodles,Biscoff Banana Pudding
2024-02-28 12:55:09,2024-02-28 13:03:56,Survey Preview,,100,527,True,2024-02-28 13:03:58,R_3gTLPEkEpovty5F,,,,,42.2796,-71.1282,preview,EN,Male,18-23,3,Bruschetta,Pasta Salad,Bistro French Onion Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Traditional Vietnamese Coffee,,,,,,,,,,,,,,,,
2024-02-28 13:04:12,2024-02-28 13:05:51,Survey Preview,,100,99,True,2024-02-28 13:05:52,R_3QLOydEgJKbAAB4,,,,,42.2796,-71.1282,preview,EN,Male,18-23,4,Bruschetta,Kale Salad with Cranberries,Classic Tomato Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Traditional Vietnamese Coffee,,Pepperoni & Cheese Pizza,Pesto Pasta,Staple Pad Thai Noodles,Lemon Pudding,,,,,,,,,,,
2024-02-28 13:04:08,2024-02-28 13:06:03,Survey Preview,,100,115,True,2024-02-28 13:06:04,R_3VrloG1Fzl3f14t,,,,,42.2904,-71.0712,preview,EN,Female,18-23,4,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Sun-Kissed Veggie Pasta Salad,Bistro French Onion Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Traditional Vietnamese Coffee,,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 13:42:27,2024-02-28 13:44:07,Survey Preview,,100,99,True,2024-02-28 13:44:08,R_3FlXCZLFBr5ZCag,,,,,42.3474,-71.1582,preview,EN,Female,36-40,1,Classic Humus,Tomato Couscous Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,Peanut Butter & Jam Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Cold Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 13:45:21,2024-02-28 13:46:06,Survey Preview,,100,45,True,2024-02-28 13:46:07,R_1twVVwDrcftVj6O,,,,,42.3474,-71.1582,preview,EN,Other,24-29,4,Stuffed Capsicum,Caesar Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,Peanut Butter & Jam Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 13:52:33,2024-02-28 13:54:04,Survey Preview,,100,91,True,2024-02-28 13:54:05,R_7dGi7JHyMc7EzQx,,,,,42.3474,-71.1582,preview,EN,Female,24-29,4,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Sun-Kissed Veggie Pasta Salad,Rustic Farmstand Veggie Soup,Golden Crisp Grilled Cheese Delight,Vibrant Green Energy Smoothie Bowl,Bold Awakening Black Coffee,Espresso Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Velvety Mini Cheesecake with a Graham Cracker Crust
